# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1605294447.8881924,0,3.0720667839050293,0.0,3.021030902862549,0.14628997445106506,-0.09525428712368011,,,,,,,,
1,1605294448.491455,800,-11.697762489318848,0.0,-11.894472122192383,0.29212209582328796,-0.09541210532188416,,,,,,,,
2,1605294448.7065248,1600,6.194313049316406,0.0,6.209490776062012,0.07751575112342834,-0.09269356727600098,,,,,,,,
3,1605294448.8914876,2400,-3.1812992095947266,0.0,-3.092186212539673,0.007321522571146488,-0.09643452614545822,,,,,,,,
4,1605294449.0458357,3200,3.522615909576416,0.0,3.445951461791992,0.17273618280887604,-0.09607162326574326,,,,,,,,
5,1605294449.5239663,4000,-0.39501672983169556,0.0,-0.5073977708816528,0.20876973867416382,-0.09638870507478714,,,,,,,,
6,1605294449.7455792,4800,-2.957165241241455,0.0,-2.868360996246338,0.007365901954472065,-0.09617014229297638,,,,,,,,
7,1605294449.939946,5600,7.017596244812012,0.0,6.896635055541992,0.21719315648078918,-0.09623212367296219,,,,,,,,
8,1605294450.1119769,6400,-4.497720718383789,0.0,-4.736694812774658,0.334805965423584,-0.09583168476819992,,,,,,,,
9,1605294450.608519,7200,-0.8034166693687439,0.0,-0.7092733383178711,0.0005595918046310544,-0.09470291435718536,,,,,,,,
10,1605294450.8065066,8000,-0.3240361511707306,0.0,-0.2305324822664261,0.0013779995497316122,-0.09488167613744736,,,,,,,,
11,1605294450.9712765,8800,-0.09110844135284424,0.0,0.0034079551696777344,0.00013705145101994276,-0.09465344995260239,,,,,,,,
12,1605294451.1332588,9600,1.6860227584838867,0.0,1.63790762424469,0.14280320703983307,-0.09468810260295868,,,,,,,,
13,1605294451.6238039,10400,0.6320570111274719,0.0,0.546588659286499,0.1798500418663025,-0.0943816751241684,,,,,,,,
14,1605294451.8199406,11200,2.288935899734497,0.0,2.1170547008514404,0.2642057538032532,-0.09232453256845474,,,,,,,,
